ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000136436	CALCOCO2	17	46908350	46943884	1	protein_coding	10241	CALCOCO2	0.0317624526733932	0.26676678	2	7.689	1.07282775359e-09	rs554574584;rs138467395	31
ENSG00000159199	ATP5G1	17	46970127	46973233	1	protein_coding	516	ATP5G1	0.327525828609274	-0.024079304	1	1.278	1.61064563518e-26	rs138213197	31
ENSG00000159202	UBE2Z	17	46985731	47006418	1	protein_coding	65264	UBE2Z	0.927558729836687	0.175157481	1	4.97	NA	rs370406642	31
ENSG00000159210	SNF8	17	47006678	47022479	-1	protein_coding	11267	SNF8	0.290873868173922	1.130608093	1	4.97	NA	rs370406642	31
ENSG00000167080	B4GALNT2	17	47209822	47247351	1	protein_coding	124872	B4GALNT2	9.64033158743695e-07	-0.518246922	1	1.632	3.06407929381e-11	rs370406642	31
ENSG00000173868	PHOSPHO1	17	47300724	47308128	-1	protein_coding	162466	PHOSPHO1	0.631109187622191	-0.624652937	1	0.91	NA	rs370406642	31
ENSG00000262039	RP11-81K2.1	17	47448102	47554350	1	protein_coding	NA	NA	NA	NA	1	0.351	3.50275692217e-06	rs370406642	31
ENSG00000064300	NGFR	17	47572655	47592379	1	protein_coding	4804	NGFR	0.238222215108748	1.301264923	1	0.24	NA	rs370406642	31
ENSG00000121067	SPOP	17	47676246	47755596	-1	protein_coding	8405	SPOP	0.992531222874917	-0.403231578	1	6.502	NA	rs370406642	31
ENSG00000121104	FAM117A	17	47787694	47866542	-1	protein_coding	81558	FAM117A	1.21995888453457e-05	-0.638853378	1	4.66	NA	rs370406642	31
ENSG00000005884	ITGA3	17	48133332	48167845	1	protein_coding	3675	ITGA3	2.40911978006841e-05	NA	1	7.934	NA	rs370406642	31
ENSG00000005882	PDK2	17	48172101	48189516	1	protein_coding	5164	PDK2	0.168975524516492	0.435841464	1	7.934	NA	rs370406642	31
ENSG00000011332	DPF1	19	38701646	38720354	-1	protein_coding	8193	DPF1	0.988986049504721	NA	1	1.92	3.70220105298e-07	rs12976534	33
ENSG00000167642	SPINT2	19	38734675	38783254	1	protein_coding	10653	SPINT2	0.0296186146049727	-0.750009436	39	18.18	3.66268862759e-11	rs12976534;rs8101185	33
ENSG00000167641	PPP1R14A	19	38741877	38747231	-1	protein_coding	94274	PPP1R14A	0.287406516614265	NA	17	18.18	3.66268862759e-11	rs12976534	33
ENSG00000267748	CTB-102L5.4	19	38779791	38795550	1	protein_coding	NA	NA	NA	NA	14	8.811	4.15432051242e-09	rs8101185	33
ENSG00000167644	C19orf33	19	38794801	38795649	1	protein_coding	64073	C19orf33	0.269214271948265	0.328486975	3	2.006	1.12434605391e-05	rs8101185	33
ENSG00000167645	YIF1B	19	38795753	38807913	-1	protein_coding	90522	YIF1B	0.0375242137865894	NA	2	0.429	1.90064059087e-05	rs8101185	33
ENSG00000099338	CATSPERG	19	38826415	38861589	1	protein_coding	57828	CATSPERG	1.31477258507678e-11	0.20229429	2	0.693	1.75153975894e-06	rs8101185	33
ENSG00000099341	PSMD8	19	38865176	38874464	1	protein_coding	5714	PSMD8	0.176154540930518	-0.582685255	3	1.208	1.80971422452e-07	rs8101185	33
ENSG00000179168	GGN	19	38874905	38878722	-1	protein_coding	199720	GGN	0.134074173944406	-0.548547855	1	1.208	1.80971422452e-07	rs8101185	33
ENSG00000188766	SPRED3	19	38879061	38886881	1	protein_coding	399473	SPRED3	0.422884638271983	NA	1	1.208	1.80971422452e-07	rs8101185	33
ENSG00000174562	KLK15	19	51328545	51340469	-1	protein_coding	55554	KLK15	0.0465802581941977	0.02349635	20	12.53	9.66495864314e-18	rs2569753;rs56397626;rs11667223;rs11665748;rs2659051;rs2411331	34
ENSG00000142515	KLK3	19	51358171	51364020	1	protein_coding	354	KLK3	0.00347267051874821	0.333626006	39	14.1	8.57630070524e-30	rs2411331;rs2659051;rs56397626;rs11667223;rs11665748;rs1058205;rs76765083;rs266876	34
ENSG00000167751	KLK2	19	51364824	51383823	1	protein_coding	3817	KLK2	0.00029249151077166	0.254944731	15	14.1	8.57630070524e-30	rs266876;rs1058205;rs56397626;rs76765083	34
ENSG00000101216	GMEB2	20	62218955	62258394	-1	protein_coding	26205	GMEB2	0.990659130636514	-1.060267669	6	2.699	4.67304539632e-09	rs74179816	35
ENSG00000197457	STMN3	20	62271061	62284780	-1	protein_coding	50861	STMN3	0.489817097149277	NA	6	4.533	1.93535215325e-10	rs74179816;rs6423444	35
ENSG00000258366	RTEL1	20	62289163	62328416	1	protein_coding	51750	RTEL1	0.777758475451746	-0.001169127	2	19.92	9.25166715773e-08	rs74179816	35
ENSG00000026036	RTEL1-TNFRSF6B	20	62290653	62330037	1	protein_coding	100533107	RTEL1-TNFRSF6B	NA	NA	2	19.92	9.25166715773e-08	rs74179816	35
ENSG00000243509	TNFRSF6B	20	62328021	62330037	1	protein_coding	8771	TNFRSF6B	4.83457783145428e-05	-0.141079045	1	19.92	4.16955781373e-07	rs74179816	35
ENSG00000101246	ARFRP1	20	62329996	62339377	-1	protein_coding	10139	ARFRP1	0.135717560060112	-1.179354738	1	19.92	4.16955781373e-07	rs74179816	35
ENSG00000197114	ZGPAT	20	62338817	62367494	1	protein_coding	84619	ZGPAT	2.80185523268214e-05	NA	2	4.071	1.12364726749e-08	rs74179816;rs1058319	35
ENSG00000273154	RP4-583P15.15	20	62340216	62370456	1	protein_coding	NA	NA	NA	NA	3	4.123	1.12364726749e-08	rs74179816;rs1058319	35
ENSG00000203896	LIME1	20	62366815	62370456	1	protein_coding	54923	LIME1	0.00033293549013144	NA	2	4.123	1.12364726749e-08	rs1058319;rs74179816	35
ENSG00000273047	RP4-583P15.14	20	62369623	62371751	1	protein_coding	NA	NA	NA	NA	2	4.123	1.12364726749e-08	rs1058319;rs74179816	35
ENSG00000125520	SLC2A4RG	20	62371214	62374858	1	protein_coding	56731	SLC2A4RG	0.00794438690680656	NA	2	4.123	1.12364726749e-08	rs1058319;rs74179816	35
ENSG00000130584	ZBTB46	20	62375019	62462597	-1	protein_coding	140685	ZBTB46	0.814437307571674	-1.088411217	3	4.123	1.12364726749e-08	rs1058319;rs74179816	35
ENSG00000100290	BIK	22	43506754	43525718	1	protein_coding	638	BIK	2.5374926599392e-05	-0.011484475	25	14.02	1.1220184543e-15	rs73179053;rs5759167;rs5759171	36
