GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs7556371	1	204518842	rs4245739	2018-09-14	27618452	Ehret GB	2016-09-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27618452	The genetics of blood pressure regulation and its target organs from association studies in 342,415 individuals.	Systolic blood pressure	up to 201,529 European ancestry individuals	up to 140,886 European ancestry individuals	1q32.1	MDM4	MDM4			ENSG00000198625			rs4245739-A	rs4245739	0	4245739	3_prime_UTR_variant	0	0.737	1E-6	6.0		0.326	[0.19-0.46] mm Hg increase	Affymetrix, Illumina, Perlegen [128272]	N
1	rs7556371	1	204527060	rs1046874	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Lung function (FVC)	approximately 372,000 European ancestry individuals	NA	1q32.1		MDM4			ENSG00000198625			rs1046874-?	rs1046874	0	1046874	3_prime_UTR_variant	0	NR	3E-14	13.522878745280337				NR [~ 8900000] (imputed)	N
1	rs7556371	1	204528344	rs16853958	2018-08-29	29912962	Feitosa MF	2018-06-18	PLoS One	www.ncbi.nlm.nih.gov/pubmed/29912962	Novel genetic associations for blood pressure identified via gene-alcohol interaction in up to 570K individuals across multiple ancestries.	Diastolic blood pressure x alcohol consumption interaction (2df test)	63,607 European ancestry drinkers, 10,193 African American or Afro-Caribbean drinkers, 2,441 Asian ancestry drinkers, 5,084 Hispanic or Latin American drinkers, 27,492 European ancestry non-drinkers, 11,223 African American or Afro-Caribbean non-drinkers, 9,924 Asian ancestry non-drinkers, 3,387 Hispanic or Latin American non-drinkers	238,058 European ancestry drinkers, 2,280 African American drinkers, 54,081 Asian ancestry drinkers, 6,448 Hispanic drinkers, 43,318 European ancestry non-drinkers, 2,761 African American non-drinkers, 86,943 Asian ancestry non-drinkers, 6,923 Hispanic non-drinkers	1q32.1	MDM4	MDM4 - RNA5SP74	ENSG00000198625	ENSG00000200408		1096	3197	rs16853958-A	rs16853958	0	16853958	intergenic_variant	1	0.32	4E-9	8.397940008672037	(AA, EA)			Affymetrix, Illumina [up to 39321347] (imputed)	N
1	rs7556371	1	204541342	rs4951404	2019-03-07	30578418	Giri A	2018-12-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30578418	Trans-ethnic association study of blood pressure determinants in over 750,000 individuals.	Diastolic blood pressure	365,998 European ancestry individuals, 63,490 African ancestry individuals, 22,802 Hispanic individuals, 4,792 Asian ancestry individuals, 2,695 Native American ancestry individuals	299,024 European ancestry individuals, 17,277 individuals	1q32.1	MDM4	RNA5SP74 - AL512306.3	ENSG00000200408	ENSG00000240710		9693	30821	rs4951404-C	rs4951404	0	4951404	regulatory_region_variant	1	0.7334	6E-9	8.221848749616356		0.1577	[0.1-0.21] mmHg increase	Affymetrix [NR] (imputed)	N
2	rs58235267	2	63178111	rs2430386	2016-02-12	25939597	Berndt SI	2015-05-05	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/25939597	Two susceptibility loci identified for prostate cancer aggressiveness.	Prostate cancer	4,600 European ancestry cases, 2,941 European ancestry controls	7,779 European ancestry cases, 7,623 European ancestry controls	2p15	EHBP1	EHBP1			ENSG00000115504			rs2430386-T	rs2430386	0	2430386	intron_variant	0	0.5	9E-12	11.045757490560675		1.14	[1.10‐1.18]	Illumina [1531807] (imputed)	N
2	rs58235267	2	63277843	rs58235267	2017-05-25	28139693	Hoffmann TJ	2017-01-31	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28139693	Genome-wide association study of prostate-specific antigen levels identifies novel loci independent of prostate cancer.	Prostate-specific antigen levels (conditioned on lead SNPs)	28,503 European ancestry individuals	2,716 Latino individuals, 2,518 East Asian ancestry individuals, 1,585 African American individuals, 6,193 European ancestry individuals (later diagnosed with prostate cancer)	2p15	intergenic	OTX1			ENSG00000115507			rs58235267-?	rs58235267	0	58235267	intron_variant	0	0.471	6E-7	6.221848749616356	(conditional on Round 2 SNPs)	0.027	unit increase	Affymetrix [10109774] (imputed)	N
2	rs58235267	2	63301164	rs6545977	2009-12-29	19767753	Eeles RA	2009-09-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19767753	Identification of seven new prostate cancer susceptibility loci through a genome-wide association study.	Prostate cancer	1,854 European ancestry cases, 1,894 European ancestry controls	19,879 cases and 18,761 controls of European, East Asian, African American, Latino, and Hawaiian ancestry	2p15	EHBP1	OTX1 - AC009501.2	ENSG00000115507	ENSG00000270437		16193	8979	rs6545977-?	rs6545977	0	6545977	intergenic_variant	1	NR	5E-7	6.301029995663981				Illumina [541129]	N
2	rs58235267	2	63301164	rs6545977	2019-01-21	29970889	Day FR	2018-07-03	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29970889	Elucidating the genetic basis of social interaction and isolation.	Regular attendance at a religious group	66,259 European ancestry cases, 386,043 European ancestry controls	NA	2p15	EHBP1, LOC100132215, OTX1, DBIL5P2, WDPCP	OTX1 - AC009501.2	ENSG00000115507	ENSG00000270437		16193	8979	rs6545977-G	rs6545977	0	6545977	intergenic_variant	1	0.515963	4E-8	7.3979400086720375		0.00400688	[0.0026-0.0054] unit increase	NR [NR] (imputed)	N
2	rs11890276	2	63355520	rs10173115	2019-03-18	30643258	Karlsson Linner R	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643258	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.	General risk tolerance (MTAG)	975,353 European ancestry individuals	NA	2p15	WDPCP	WDPCP			ENSG00000143951			rs10173115-A	rs10173115	0	10173115	intron_variant	0	0.46	2E-11	10.698970004336019		0.0079	[0.0055-0.0103] unit decrease	Affymetrix, Illumina [5869552] (imputed)	N
2	rs72821624	2	63357876	rs11125949	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Self-reported math ability (MTAG)	670,471 European ancestry individuals	NA	2p15	Intergenic	WDPCP			ENSG00000143951			rs11125949-T	rs11125949	0	11125949	intron_variant	0	0.8113	3E-17	16.522878745280337	(MTAG)	0.0194	[0.015-0.024] unit decrease	Affymetrix, Illumina [7100000] (imputed)	N
2	rs72821624	2	63374063	rs4671458	2017-03-17	27089181	Okbay A	2016-04-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27089181	Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses.	Subjective well-being	298,420 Korculan (founder/genetic isolate), Split (founder/genetic isolate), Vis (founder/genetic isolate), Erasmus Rucphen (founder/genetic isolate) and other European ancestry individuals	NA	2p15	NR	WDPCP			ENSG00000143951			rs4671458-T	rs4671458	0	4671458	intron_variant	0	0.2039	2E-6	5.698970004336019		0.0153	[0.009-0.0216] unit increase	Affymetrix, Illumina, Perlegen [at least 5170349] (imputed)	N
2	rs72821624	2	63392872	rs4671459	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Depressive symptoms	1,067,913 European ancestry individuals	228,033 European ancestry individuals	2p15	NR	WDPCP			ENSG00000143951			rs4671459-C	rs4671459	0	4671459	intron_variant	0	0.194698933634269	5E-14	13.301029995663981		0.008897682	[0.0066-0.0112] unit decrease	NR [NR]	N
2	rs72821624	2	63392872	rs4671459	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	2p15	NR	WDPCP			ENSG00000143951			rs4671459-C	rs4671459	0	4671459	intron_variant	0	0.194698933634269	5E-14	13.301029995663981		0.013932857	[0.01-0.018] unit decrease	NR [NR]	N
2	rs72821624	2	63392872	rs4671459	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Positive affect	410,603 European ancestry individuals	NA	2p15	NR	WDPCP			ENSG00000143951			rs4671459-C	rs4671459	0	4671459	intron_variant	0	0.194698933634269	1E-13	13.0		0.010720793	[0.0079-0.0136] unit decrease	NR [NR]	N
2	rs72821624	2	63392872	rs4671459	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Well-being spectrum (multivariate analysis)	2,083,151 European ancestry individuals	287,239 European ancestry individuals	2p15	NR	WDPCP			ENSG00000143951			rs4671459-C	rs4671459	0	4671459	intron_variant	0	0.194698933634269	5E-14	13.301029995663981		0.00874377	[0.0065-0.011] unit decrease	NR [NR]	N
2	rs72821624	2	63464879	rs1829526	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Life satisfaction	80,852 European ancestry individuals	NA	2p15	NR	WDPCP			ENSG00000143951			rs1829526-G	rs1829526	0	1829526	intron_variant	0	0.198003971291323	1E-11	11.0		0.011241955	[0.008-0.0145] unit decrease	NR [NR]	N
2	rs72821624	2	63513191	rs76262922	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Self-reported math ability	564,698 European ancestry individuals	NA	2p15	Intergenic	WDPCP			ENSG00000143951			rs76262922-G	rs76262922	0	76262922	intron_variant	0	0.8195	2E-18	17.69897000433602		0.0223	[0.017-0.027] unit decrease	Affymetrix, Illumina [10000000] (imputed)	N
2	rs11890276	2	63558590	rs13021322	2019-03-18	30643258	Karlsson Linner R	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643258	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.	Number of sexual partners	370,711 European ancestry individuals	NA	2p15	WDPCP	WDPCP			ENSG00000143951			rs13021322-T	rs13021322	0	13021322	intron_variant	0	0.4296	3E-8	7.522878745280337		0.01317891	[0.0085-0.0179] unit decrease	Affymetrix [11515109] (imputed)	N
2	rs11890276	2	63622309	rs7559982	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Age of smoking initiation	up to 341,427 European ancestry individuals	NA	2p15	NR	WDPCP			ENSG00000143951			rs7559982-A	rs7559982	0	7559982	intron_variant	0	0.564	2E-12	11.698970004336019		0.017	[0.012-0.022] unit decrease	NR [~ 10000000] (imputed)	N
2	rs72821624	2	63788341	rs112028067	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Systolic blood pressure	approximately 422,000 European ancestry individuals	NA	2p15		WDPCP			ENSG00000143951			rs112028067-?	rs112028067	0	112028067	intron_variant	0	NR	4E-13	12.397940008672037				NR [~ 8900000] (imputed)	N
2	rs72821624	2	63788341	rs112028067	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Depressive symptoms	1,067,913 European ancestry individuals	228,033 European ancestry individuals	2p15	NR	WDPCP			ENSG00000143951			rs112028067-A	rs112028067	0	112028067	intron_variant	0	0.218119973911245	2E-11	10.698970004336019		0.007682492	[0.0054-0.0099] unit decrease	NR [NR]	N
2	rs72821624	2	63788341	rs112028067	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Life satisfaction	80,852 European ancestry individuals	NA	2p15	NR	WDPCP			ENSG00000143951			rs112028067-A	rs112028067	0	112028067	intron_variant	0	0.218119973911245	1E-10	10.0		0.009862472	[0.0069-0.0129] unit decrease	NR [NR]	N
2	rs72821624	2	63788341	rs112028067	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	2p15	NR	WDPCP			ENSG00000143951			rs112028067-A	rs112028067	0	112028067	intron_variant	0	0.218119973911245	1E-11	11.0		0.012065358	[0.0086-0.0156] unit decrease	NR [NR]	N
2	rs72821624	2	63788341	rs112028067	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Positive affect	410,603 European ancestry individuals	NA	2p15	NR	WDPCP			ENSG00000143951			rs112028067-A	rs112028067	0	112028067	intron_variant	0	0.218119973911245	2E-11	10.698970004336019		0.009272882	[0.0066-0.012] unit decrease	NR [NR]	N
2	rs72821624	2	63815206	rs1109027	2019-05-02	30867560	Hill WD	2019-03-13	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30867560	Genetic contributions to two special factors of neuroticism are associated with affluence, higher intelligence, better health, and longer life.	General factor of neuroticism	270,059 British ancestry individuals	NA	2p15	WDPCP	WDPCP			ENSG00000143951			rs1109027-A	rs1109027	0	1109027	intron_variant	0	NR	4E-8	7.3979400086720375		0.009453	[0.0061-0.0128] unit decrease	Affymetrix [18485882] (imputed)	N
2	rs72821624	2	63853423	rs113419088	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Sunburns	approximately 344,000 European ancestry individuals	NA	2p15		WDPCP			ENSG00000143951			rs113419088-?	rs113419088	0	113419088	intron_variant	0	NR	2E-8	7.698970004336019				NR [~ 8900000] (imputed)	N
2	rs72821624	2	63893589	rs17619012	2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Neurociticism	380,506 European ancestry individuals	NA	2p15	OTX1	WDPCP			ENSG00000143951			rs17619012-T	rs17619012	0	17619012	intron_variant	0	0.216843	2E-8	7.698970004336019		5.59	z score decrease	NR [10847151] (imputed)	N
2	rs72821624	2	63893589	rs17619012	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Neuroticism	approximately 372,000 European ancestry individuals	NA	2p15		WDPCP			ENSG00000143951			rs17619012-?	rs17619012	0	17619012	intron_variant	0	NR	3E-10	9.522878745280337				NR [~ 8900000] (imputed)	N
3	rs368912301	2	85742175	rs2166529	2018-01-29	29212778	van der Harst P	2017-12-06	Circ Res	www.ncbi.nlm.nih.gov/pubmed/29212778	Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.	Coronary artery disease	34,541 cases, 261,984 controls	88,192 cases, 162,544 controls	2p11.2	intergenic	RPSAP22 - MAT2A	ENSG00000229648	ENSG00000168906		23272	24113	rs2166529-T	rs2166529	0	2166529	intergenic_variant	1	0.458	2E-22	21.69897000433602		0.063	[0.051-0.075] unit increase	Affymetrix [7947838] (imputed)	N
3	rs368912301	2	85754342	rs13394343	2018-11-19	30220432	Haas ME	2018-09-06	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30220432	Genetic Association of Albuminuria with Cardiometabolic Disease and Blood Pressure.	Urinary albumin excretion	382,500 European ancestry individuals	NA	2p11.2	SH2D6, MAT2A, PARTICL	RPSAP22 - MAT2A	ENSG00000229648	ENSG00000168906		35439	11946	rs13394343-C	rs13394343	0	13394343	intergenic_variant	1	0.57	4E-10	9.397940008672037		0.01053	[0.0072-0.0138] unit increase	Affymetrix [11709857] (imputed)	N
3	rs368912301	2	85759127	rs17026396	2017-06-29	28360221	Boger CA	2017-03-30	J Am Soc Nephrol	www.ncbi.nlm.nih.gov/pubmed/28360221	NFAT5 and SLC4A10 Loci Associate with Plasma Osmolality.	Blood osmolality (transformed sodium)	45,889 European ancestry individuals, up to 8,765 Asian Indian ancestry individuals, up to 7,215 African ancestry individuals	17,637 European ancestry individuals	2p11.2	NR	RPSAP22 - MAT2A	ENSG00000229648	ENSG00000168906		40224	7161	rs17026396-T	rs17026396	0	17026396	regulatory_region_variant	1	0.62	3E-6	5.522878745280337	(Asian)	0.07	[0.039-0.101] unit decrease	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	N
3	rs368912301	2	85760395	rs6731005	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Red cell distribution width	approximately 445,000 European ancestry individuals	NA	2p11.2		RPSAP22 - MAT2A	ENSG00000229648	ENSG00000168906		41492	5893	rs6731005-?	rs6731005	0	6731005	intergenic_variant	1	NR	4E-9	8.397940008672037				NR [~ 8900000] (imputed)	N
3	rs368912301	2	85762048	rs10176176	2016-09-12	26343387	Nikpay M	2015-09-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26343387	A comprehensive 1,000 Genomes-based genome-wide association meta-analysis of coronary artery disease.	Myocardial infarction	27,509 European ancestry cases, 130 African American cases, 278 Hispanic American cases, 10,257 South Asian ancestry cases, 288 Lebanese ancestry cases, 1,687 East Asian ancestry cases, 99,121 European ancestry controls, 2,778 African American controls, 3,337 Hispanic American controls, 12,899 South Asian ancestry controls, 466 Lebanese ancestry controls, 7,709 East Asian ancestry controls	NA	2p11.2	VAMP8, GGCX, VAMP5	RPSAP22 - MAT2A	ENSG00000229648	ENSG00000168906		43145	4240	rs10176176-T	rs10176176	0	10176176	intergenic_variant	1	0.47	3E-10	9.522878745280337		1.07	[1.05-1.09]	Affymetrix, Illumina [8600000] (imputed)	N
3	rs368912301	2	85763520	rs6743030	2018-01-29	29212778	van der Harst P	2017-12-06	Circ Res	www.ncbi.nlm.nih.gov/pubmed/29212778	Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.	Coronary artery disease	up to 122,733 cases, up to 424,528 controls	NA	2p11.2	GGCX, LOC100630918, MAT2A	RPSAP22 - MAT2A	ENSG00000229648	ENSG00000168906		44617	2768	rs6743030-T	rs6743030	0	6743030	intergenic_variant	1	0.465	2E-23	22.69897000433602		0.0565	[0.045-0.068] unit increase	Affymetrix [at least 7947838] (imputed)	N
3	rs368912301	2	85788175	rs7568458	2016-09-12	26343387	Nikpay M	2015-09-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26343387	A comprehensive 1,000 Genomes-based genome-wide association meta-analysis of coronary artery disease.	Coronary artery disease	42,096 European ancestry cases, 361 African American cases, 758 Hispanic American cases, 12,658 South Asian ancestry cases, 1,802 Lebanese ancestry cases, 3,614 East Asian ancestry cases, 99,121 European ancestry controls, 2,778 African American controls, 3,337 Hispanic American controls, 12,899 South Asian ancestry controls, 466 Lebanese ancestry controls, 7,709 East Asian ancestry controls	NA	2p11.2	VAMP5, VAMP8, GGCX	GGCX			ENSG00000115486			rs7568458-A	rs7568458	0	7568458	intron_variant	0	0.448518	4E-10	9.397940008672037		1.06	[1.04- 1.08]	Affymetrix, Illumina [8600000] (imputed)	N
3	rs368912301	2	85788175	rs7568458	2017-09-28	28714975	Nelson CP	2017-07-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28714975	Association analyses based on false discovery rate implicate new loci for coronary artery disease.	Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)	18,467 European and unknown ancestry cases, 45,264 European and unknown ancestry controls	57,347 European and unknown ancestry cases, 219,521 European and unknown ancestry controls	2p11.2	VAMP5, VAMP8, GGCX	GGCX			ENSG00000115486			rs7568458-A	rs7568458	0	7568458	intron_variant	0	0.452	2E-13	12.698970004336019		1.06	[1.05-1.08]	Affymetrix [9149595] (imputed)	N
